"BehaviorSpace results (NetLogo 6.2.2)"
"/home/gallagher/sensitivity/EBIVModelSAsobol.nlogo"
"SA_sobol"
"04/28/2023 13:10:54:051 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","19","0","49"
"[run number]","[step]","SA.BMadult","SA.BMemb","SA.BMwean","SA.age1stbirth","SA.LpY","SA.LSb","SA.dens"
"8","16609","21.04","0","0","0","0","0","0"
"4","19777","21.6","0","0","0","0","0","0"
"5","23281","15.699479618386805","0.12674418604651194","3.796296296296298","200.88888888888889","2.6666666666666665","5.733333333333333","1.256578947368421"
"2","18529","20.56666666666667","0","0","0","0","0","0"
"10","14353","25.178267634854766","2.25258855585832","13.320967741935533","358.9230769230769","0.2222222222222222","5.477611940298507","15.94"
"9","22129","19.01323381656381","0.4109223300970869","7.412862318840583","87.08235294117647","0","5.605442176870748","10.477941176470589"
"3","18097","26.7839138576779","1.6768206039076592","12.211801242236003","306.47058823529414","0.21739130434782608","5.04932735426009","16.150793650793652"
"7","24145","22.200479686735154","0.6950645406226407","9.273608903020651","85.74820143884892","1","5.353658536585366","15.345238095238095"
"11","14641","28.868877918338026","5.333729216152031","17.508707124010638","357.1","0.3448275862068966","5.2625","27.225490196078432"
"19","11233","19.325000000000003","0","0","0","0","0","0"
"6","22561","28.522755020080336","2.7494991652754854","13.816978609625673","89.08064516129032","0.5","5.445454545454545","21.437956204379564"
"12","16369","19.057508085630673","0.7804878048780463","7.659259259259254","329.2352941176471","0.5111111111111111","5.3478260869565215","10.921052631578947"
"13","19105","23.530619937444932","0.8746478873239293","10.043558282208574","156.5681818181818","0.36363636363636365","5.439516129032258","22.655172413793103"
"17","16369","27.888322536651817","2.857305194805205","18.32639751552792","342.7","0","5.703703703703703","11.236842105263158"
"1","24865","21.13767311120248","0.9629411764705874","9.26058981233245","93.40291262135922","0.3076923076923077","5.466237942122186","18.221556886227546"
"14","28033","15.210853008377713","0.13103808033385075","4.536154949784799","85.89497716894977","0.8260869565217391","5.540462427745664","15.136842105263158"
"20","18817","21.772339428035565","1.0370731707317082","7.986666666666666","341.52941176470586","1.9","5.125","0.40458015267175573"
"16","26881","24.73540675032444","1.6851102941176703","12.834999999999967","79.38461538461539","0.2608695652173913","5.230769230769231","12.289156626506024"
"25","21457","19.8376811594203","1.4076923076923076","0","685","0","6.5","0.9833333333333333"
"23","17521","25.207139058760944","2.1379870129870135","14.268556701030908","335.16","0.037037037037037035","5.703703703703703","11.549180327868852"
"28","12961","19.380000000000003","0","0","0","0","0","0"
"15","25585","25.031244934854488","2.884399999999973","13.40024906600248","97.0995260663507","0.09090909090909091","5.434782608695652","21.247191011235955"
"26","13345","22.921036255411295","0.7869266055045929","11.619801980198035","356.09302325581393","0.16071428571428573","5.662337662337662","20.021505376344088"
"22","20113","30.740185958553162","2.364392201834899","13.006370370370316","277.03212851405624","1","5.433021806853582","19.149253731343283"
"27","27025","31.749403537639065","6.477971646673937","20.609302325581474","93.75862068965517","0.12","5.362573099415204","14.079787234042554"
"24","20401","30.688111490329895","1.4414170506912514","11.419061876247396","298.83561643835617","1.3333333333333333","5.3580246913580245","21.704225352112676"
"33","22849","28.02970517337289","5.897058823529418","21.594444444444456","116.25","0.25","5.281553398058253","5.465408805031447"
"32","31201","19.357117163412163","2.5699633699633733","8.983333333333334","246.27272727272728","4.611111111111111","5.571428571428571","6"
"30","32209","22.452765957446797","1.0252081756245246","10.708782435129725","81.44444444444444","1.3076923076923077","5.527196652719665","9.602870813397129"
"21","29329","26.676993615786415","2.8903225806451522","13.16898326898319","88.67450980392157","0.7777777777777778","5.383233532934132","18.195402298850574"
"31","30913","28.7197652707389","3.1734448160535775","14.838032786885242","80.30459770114942","1.3","5.516605166051661","13.157068062827225"
"18","33217","21.705182478499143","0.2611413914716219","7.481236442516267","85.48235294117647","1.2708333333333333","5.609712230215828","24.82758620689655"
"29","19969","25.68810589112606","1.4931690140845069","10.506451612903245","292.81632653061223","0.34285714285714286","5.239852398523985","21.636363636363637"
"39","17377","24.624835075611443","0.895016077170409","12.42136752136753","221.78333333333333","0.2","5.226890756302521","16.776859504132233"
"43","16321","21.46666666666667","0","0","0","0","0","0"
"36","22705","23.522546419098138","1.3856081708449473","14.032189973614777","107.81159420289855","0.42857142857142855","5.551546391752577","15.993006993006993"
"41","16801","23.953846153846158","0","0","0","0","0","0"
"44","9505","20.375","0","0","0","0","0","0"
"34","27457","31.427244582043187","6.397028783658206","18.067275747508482","87.06363636363636","0","5.467005076142132","19.50887573964497"
"40","23713","17.857052611729106","2.940807174887891","8.048672566371689","225.34883720930233","1.0909090909090908","5.309523809523809","7.173076923076923"
"47","19009","23.1","0","0","0","0","0","0"
"48","12289","24.458333333333332","0","0","0","0","0","0"
"37","22849","20.770780325743466","1.02206366630076","9.433868808567622","87.38888888888889","0.8","5.358823529411764","21.10062893081761"
"50","15169","19.619999999999997","0","0","0","0","0","0"
"38","19537","21.451941978440157","0.3957391865719715","6.8021712907117315","295.36301369863014","0.13333333333333333","5.592057761732852","24.352459016393443"
"46","16369","29.658209745762694","6.352236135957124","20.90404040404037","355.046875","0","5.375","16.482456140350877"
"51","15937","27.28404137931052","1.5","14.050446428571385","337.25","0.18181818181818182","5.173913043478261","13.486238532110091"
"49","15937","22.093990593973178","2.0045130641330213","13.615178571428576","355.32608695652175","0.13636363636363635","5.5394736842105265","14.72972972972973"
"53","15937","21.7625","0","0","0","0","0","0"
