"BehaviorSpace results (NetLogo 6.2.2)"
"/home/gallagher/sensitivity/EBIVModelSAmorris.nlogo"
"SA_morris"
"04/26/2023 12:22:52:741 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","19","0","49"
"[run number]","[step]","perc-resource-cells","max-resources-base","r-growth-ts","fragmentation-level","n-animals","speed-mean","speed-max","HR-r-min","HR-r-max","B0","gamma","intercept-pcot","slope-pcot","intercept-icot","slope-icot","n-emb-range","emb-growth-c","emb-mass-init","emb-mass-inf","percent-fat-emb","percent-pro-emb","ED-pl","DE-pl","preg-prob-const","preg-prob-mid","off-BMR-red","off-growth-eff","milk-prod-eff","lact-prob-const","lact-prob-mid","ED-pro","DE-fat","DE-pro","growth-lm-prob-const","growth-lm-prob-mid","growth-lm-inf","growth-lm-k","stomach-fill-perc","AE-food","HIF","DM-food","ED-food","ED-fat","ED-cpro","gamma-mobilize","perc-water-adi","SL-max","item 0 t-mating","item 1 t-mating","t-mature","prob-ovul","t-0","t-gest","t-nurs","t-max-age","surv-prob-const","surv-prob-mid","surv-mod-embryo","surv-mod-off","item 0 winter-surv + 0.216","SA.BMadult","SA.BMemb","SA.BMwean","SA.age1stbirth","SA.LpY","SA.LSb","SA.dens"
"10","31201","0.75","140","0.0099","0.664","100","0.166","0.9864","13.56","26.56","6053.1","0.576","4.7","0.756","10.6","-0.261","[3 10]","0.1344","6.21E-8","21.9527","0.0342","0.1122","3249.9","0.5511","22.873","0.048","0.5511","1.056","0.9075","22.6224","0.0981","25850000","0.735","0.3996","23.2408","0.0612","0.03168","0.0964","0.04563","0.9196","0.2508","0.603","11052.99","46920000","22920000","0.018","0.0952","0.3184","121","327.6","36","0.176","4","24","23.1","744","113.6016","0.0144","0.502","0.633","0.416","29.903488372092966","8.237531172069833","21.966049382716037","82.04761904761905","0.8333333333333334","6.31496062992126","4.438679245283019"
"12","31201","0.75","140","0.0099","0.664","80","0.166","0.9864","13.56","26.56","6053.1","0.576","4.7","0.756","10.6","-0.261","[3 10]","0.1344","6.21E-8","17.9613","0.0342","0.1122","3249.9","0.5511","22.873","0.048","0.5511","1.056","0.9075","22.6224","0.0981","25850000","0.735","0.3996","23.2408","0.0612","0.03168","0.0964","0.04563","0.9196","0.2508","0.603","11052.99","46920000","22920000","0.018","0.0952","0.3184","121","327.6","36","0.176","4","24","23.1","744","113.6016","0.0144","0.502","0.633","0.416","29.20119708029197","6.761020881670543","20.444117647058846","96.6140350877193","0.5","6.1571428571428575","6.44811320754717"
"13","23281","0.75","140","0.0099","0.664","80","0.166","0.9864","13.56","26.56","6053.1","0.576","4.7","0.756","10.6","-0.261","[3 10]","0.1344","6.21E-8","17.9613","0.0342","0.1122","3249.9","0.5511","22.873","0.048","0.5511","1.056","0.9075","22.6224","0.0981","25850000","0.735","0.3996","23.2408","0.0612","0.03168","0.0964","0.04563","0.9196","0.2508","0.603","11052.99","46920000","22920000","0.018","0.0952","0.3184","121","273","36","0.176","4","24","23.1","744","113.6016","0.0144","0.502","0.633","0.416","30.91473131562696","7.162407862407862","20.749122807017525","160.39622641509433","0.36363636363636365","6.4603174603174605","8.019108280254777"
"15","23281","0.75","140","0.0099","0.664","80","0.166","0.9864","13.56","26.56","7263.72","0.576","4.7","0.756","10.6","-0.261","[3 10]","0.1344","6.21E-8","17.9613","0.0342","0.1122","3249.9","0.5511","22.873","0.048","0.5511","1.056","0.9075","22.6224","0.0981","25850000","0.735","0.3996","23.2408","0.0612","0.03168","0.0964","0.04563","0.9196","0.2508","0.603","11052.99","46920000","22920000","0.018","0.0952","0.398","121","273","36","0.176","4","24","23.1","744","113.6016","0.0144","0.502","0.633","0.416","36.12264686612787","7.9735576923076925","24.779047619047617","161.76470588235293","1","6.43298969072165","4.707006369426751"
"14","23281","0.75","140","0.0099","0.664","80","0.166","0.9864","13.56","26.56","7263.72","0.576","4.7","0.756","10.6","-0.261","[3 10]","0.1344","6.21E-8","17.9613","0.0342","0.1122","3249.9","0.5511","22.873","0.048","0.5511","1.056","0.9075","22.6224","0.0981","25850000","0.735","0.3996","23.2408","0.0612","0.03168","0.0964","0.04563","0.9196","0.2508","0.603","11052.99","46920000","22920000","0.018","0.0952","0.3184","121","273","36","0.176","4","24","23.1","744","113.6016","0.0144","0.502","0.633","0.416","30.85459780791377","7.238472834067561","21.509821428571428","160.67032967032966","0.375","6.1909090909090905","5.751592356687898"
"16","23281","0.75","140","0.0099","0.664","80","0.166","0.9864","13.56","26.56","7263.72","0.576","4.7","0.756","10.6","-0.261","[3 10]","0.1344","6.21E-8","17.9613","0.0342","0.1122","3249.9","0.5511","22.873","0.048","0.5511","1.056","0.9075","22.6224","0.0981","25850000","0.735","0.3996","23.2408","0.0612","0.03168","0.07712","0.04563","0.9196","0.2508","0.603","11052.99","46920000","22920000","0.018","0.0952","0.398","121","273","36","0.176","4","24","23.1","744","113.6016","0.0144","0.502","0.633","0.416","30.789663789186715","7.886878727634211","22.36694915254237","116.71014492753623","0.2631578947368421","6.0602409638554215","3.5605095541401273"
"17","23281","0.75","140","0.0099","0.664","80","0.166","0.9864","13.56","26.56","7263.72","0.576","4.7","0.756","10.6","-0.261","[3 10]","0.1344","7.59E-8","17.9613","0.0342","0.1122","3249.9","0.5511","22.873","0.048","0.5511","1.056","0.9075","22.6224","0.0981","25850000","0.735","0.3996","23.2408","0.0612","0.03168","0.07712","0.04563","0.9196","0.2508","0.603","11052.99","46920000","22920000","0.018","0.0952","0.398","121","273","36","0.176","4","24","23.1","744","113.6016","0.0144","0.502","0.633","0.416","33.9023883237505","7.925679758308164","22.417272727272735","144.76829268292684","0.2","6.895833333333333","5.140127388535032"
"18","23281","0.75","140","0.0099","0.664","80","0.166","0.9864","13.56","26.56","7263.72","0.576","4.7","0.756","10.6","-0.261","[3 10]","0.1344","7.59E-8","17.9613","0.0342","0.1122","3899.88","0.5511","22.873","0.048","0.5511","1.056","0.9075","22.6224","0.0981","25850000","0.735","0.3996","23.2408","0.0612","0.03168","0.07712","0.04563","0.9196","0.2508","0.603","11052.99","46920000","22920000","0.018","0.0952","0.398","121","273","36","0.176","4","24","23.1","744","113.6016","0.0144","0.502","0.633","0.416","33.61807204668947","7.953343701399722","21.94428571428571","148.0722891566265","2","6.366336633663367","6.13375796178344"
"19","23281","0.75","140","0.0099","0.664","80","0.166","0.9864","13.56","26.56","7263.72","0.576","4.7","0.756","10.6","-0.261","[3 10]","0.1344","7.59E-8","17.9613","0.0342","0.1122","3899.88","0.5511","22.873","0.048","0.5511","1.056","0.9075","22.6224","0.0981","25850000","0.735","0.3996","23.2408","0.0612","0.03168","0.07712","0.04563","0.9196","0.2508","0.603","11052.99","46920000","22920000","0.018","0.0952","0.398","121","273","36","0.176","4","24","18.9","744","113.6016","0.0144","0.502","0.633","0.416","30.435834822314902","7.839313572542939","19.399999999999984","107.5679012345679","0","6.41","6.522292993630574"
"20","23281","0.75","140","0.0099","0.664","80","0.166","0.9864","13.56","26.56","7263.72","0.704","4.7","0.756","10.6","-0.261","[3 10]","0.1344","7.59E-8","17.9613","0.0342","0.1122","3899.88","0.5511","22.873","0.048","0.5511","1.056","0.9075","22.6224","0.0981","25850000","0.735","0.3996","23.2408","0.0612","0.03168","0.07712","0.04563","0.9196","0.2508","0.603","11052.99","46920000","22920000","0.018","0.0952","0.398","121","273","36","0.176","4","24","18.9","744","113.6016","0.0144","0.502","0.633","0.416","29.598212248003012","7.41911613566291","17.44178082191781","105.46774193548387","0.041666666666666664","6.401315789473684","11.745222929936306"
"22","19825","0.75","140","0.0099","0.664","80","0.166","0.9864","13.56","26.56","7263.72","0.704","4.7","0.756","10.6","-0.261","[3 10]","0.1344","7.59E-8","17.9613","0.0342","0.1122","3899.88","0.5511","22.873","0.048","0.5511","1.056","0.9075","22.6224","0.0981","25850000","0.735","0.4884","23.2408","0.0612","0.03168","0.07712","0.04563","0.9196","0.2508","0.603","11052.99","46920000","22920000","0.018","0.0952","0.398","145.2","273","36","0.176","4","24","18.9","744","113.6016","0.0144","0.502","0.633","0.416","32.070653075737766","7.404920049200498","17.05505226480835","272.88034188034186","0.46153846153846156","6.4015748031496065","11.55072463768116"
"21","23281","0.75","140","0.0099","0.664","80","0.166","0.9864","13.56","26.56","7263.72","0.704","4.7","0.756","10.6","-0.261","[3 10]","0.1344","7.59E-8","17.9613","0.0342","0.1122","3899.88","0.5511","22.873","0.048","0.5511","1.056","0.9075","22.6224","0.0981","25850000","0.735","0.4884","23.2408","0.0612","0.03168","0.07712","0.04563","0.9196","0.2508","0.603","11052.99","46920000","22920000","0.018","0.0952","0.398","121","273","36","0.176","4","24","18.9","744","113.6016","0.0144","0.502","0.633","0.416","29.973695460832403","7.376101321585888","17.317261904761864","102.4608695652174","0","6.394366197183099","12.847133757961783"
