"","perc-resource-cells","max-resources-base","r-growth-ts","fragmentation-level","n-animals","speed-mean","speed-max","HR-r-min","HR-r-max","B0","gamma","intercept-pcot","slope-pcot","intercept-icot","slope-icot","n-emb-mid","emb-growth-c","emb-mass-init","emb-mass-inf","percent-fat-emb","percent-pro-emb","ED-pl","DE-pl","preg-prob-const*","preg-prob-mid*","off-BMR-red","off-growth-eff","milk-prod-eff","lact-prob-const*","lact-prob-mid*","ED-pro","DE-fat","DE-pro","growth-lm-prob-const*","growth-lm-prob-mid*","growth-lm-inf","growth-lm-k","stomach-fill-perc","AE-food","HIF","DM-food","ED-food","ED-fat","EC-pro","gamma-mobilize","perc-water-adi","max-SL","t-mating-start","t-mating-end","t-mature","prob-ovul","t-0","t-gest","t-nurs","t-max-age","surv-prob-const*","surv-prob-mid*","surv-mod-emb*","surv-mod-off*","winter-surv-mid"
"11",0.75,140,0.0099,0.664,80,0.166,0.9864,13.56,26.56,6053.1,0.576,4.7,0.756,10.6,-0.261,6.6,0.1344,6.21e-08,21.9527,0.0342,0.1122,3249.9,0.5511,22.873,0.048,0.5511,1.056,0.9075,22.6224,0.0981,25.85,0.735,0.3996,23.2408,0.0612,0.03168,0.0964,0.04563,0.9196,0.2508,0.603,11052.99,46.92,22.92,0.018,0.0952,0.3184,121,327.6,36,0.176,4,24,23.1,744,113.6016,0.0144,0.502,0.633,0.416
"12",0.75,140,0.0099,0.664,80,0.166,0.9864,13.56,26.56,6053.1,0.576,4.7,0.756,10.6,-0.261,6.6,0.1344,6.21e-08,17.9613,0.0342,0.1122,3249.9,0.5511,22.873,0.048,0.5511,1.056,0.9075,22.6224,0.0981,25.85,0.735,0.3996,23.2408,0.0612,0.03168,0.0964,0.04563,0.9196,0.2508,0.603,11052.99,46.92,22.92,0.018,0.0952,0.3184,121,327.6,36,0.176,4,24,23.1,744,113.6016,0.0144,0.502,0.633,0.416
"13",0.75,140,0.0099,0.664,80,0.166,0.9864,13.56,26.56,6053.1,0.576,4.7,0.756,10.6,-0.261,6.6,0.1344,6.21e-08,17.9613,0.0342,0.1122,3249.9,0.5511,22.873,0.048,0.5511,1.056,0.9075,22.6224,0.0981,25.85,0.735,0.3996,23.2408,0.0612,0.03168,0.0964,0.04563,0.9196,0.2508,0.603,11052.99,46.92,22.92,0.018,0.0952,0.3184,121,273,36,0.176,4,24,23.1,744,113.6016,0.0144,0.502,0.633,0.416
"14",0.75,140,0.0099,0.664,80,0.166,0.9864,13.56,26.56,7263.72,0.576,4.7,0.756,10.6,-0.261,6.6,0.1344,6.21e-08,17.9613,0.0342,0.1122,3249.9,0.5511,22.873,0.048,0.5511,1.056,0.9075,22.6224,0.0981,25.85,0.735,0.3996,23.2408,0.0612,0.03168,0.0964,0.04563,0.9196,0.2508,0.603,11052.99,46.92,22.92,0.018,0.0952,0.3184,121,273,36,0.176,4,24,23.1,744,113.6016,0.0144,0.502,0.633,0.416
"15",0.75,140,0.0099,0.664,80,0.166,0.9864,13.56,26.56,7263.72,0.576,4.7,0.756,10.6,-0.261,6.6,0.1344,6.21e-08,17.9613,0.0342,0.1122,3249.9,0.5511,22.873,0.048,0.5511,1.056,0.9075,22.6224,0.0981,25.85,0.735,0.3996,23.2408,0.0612,0.03168,0.0964,0.04563,0.9196,0.2508,0.603,11052.99,46.92,22.92,0.018,0.0952,0.398,121,273,36,0.176,4,24,23.1,744,113.6016,0.0144,0.502,0.633,0.416
"16",0.75,140,0.0099,0.664,80,0.166,0.9864,13.56,26.56,7263.72,0.576,4.7,0.756,10.6,-0.261,6.6,0.1344,6.21e-08,17.9613,0.0342,0.1122,3249.9,0.5511,22.873,0.048,0.5511,1.056,0.9075,22.6224,0.0981,25.85,0.735,0.3996,23.2408,0.0612,0.03168,0.07712,0.04563,0.9196,0.2508,0.603,11052.99,46.92,22.92,0.018,0.0952,0.398,121,273,36,0.176,4,24,23.1,744,113.6016,0.0144,0.502,0.633,0.416
"17",0.75,140,0.0099,0.664,80,0.166,0.9864,13.56,26.56,7263.72,0.576,4.7,0.756,10.6,-0.261,6.6,0.1344,7.59e-08,17.9613,0.0342,0.1122,3249.9,0.5511,22.873,0.048,0.5511,1.056,0.9075,22.6224,0.0981,25.85,0.735,0.3996,23.2408,0.0612,0.03168,0.07712,0.04563,0.9196,0.2508,0.603,11052.99,46.92,22.92,0.018,0.0952,0.398,121,273,36,0.176,4,24,23.1,744,113.6016,0.0144,0.502,0.633,0.416
"18",0.75,140,0.0099,0.664,80,0.166,0.9864,13.56,26.56,7263.72,0.576,4.7,0.756,10.6,-0.261,6.6,0.1344,7.59e-08,17.9613,0.0342,0.1122,3899.88,0.5511,22.873,0.048,0.5511,1.056,0.9075,22.6224,0.0981,25.85,0.735,0.3996,23.2408,0.0612,0.03168,0.07712,0.04563,0.9196,0.2508,0.603,11052.99,46.92,22.92,0.018,0.0952,0.398,121,273,36,0.176,4,24,23.1,744,113.6016,0.0144,0.502,0.633,0.416
"19",0.75,140,0.0099,0.664,80,0.166,0.9864,13.56,26.56,7263.72,0.576,4.7,0.756,10.6,-0.261,6.6,0.1344,7.59e-08,17.9613,0.0342,0.1122,3899.88,0.5511,22.873,0.048,0.5511,1.056,0.9075,22.6224,0.0981,25.85,0.735,0.3996,23.2408,0.0612,0.03168,0.07712,0.04563,0.9196,0.2508,0.603,11052.99,46.92,22.92,0.018,0.0952,0.398,121,273,36,0.176,4,24,18.9,744,113.6016,0.0144,0.502,0.633,0.416
"20",0.75,140,0.0099,0.664,80,0.166,0.9864,13.56,26.56,7263.72,0.704,4.7,0.756,10.6,-0.261,6.6,0.1344,7.59e-08,17.9613,0.0342,0.1122,3899.88,0.5511,22.873,0.048,0.5511,1.056,0.9075,22.6224,0.0981,25.85,0.735,0.3996,23.2408,0.0612,0.03168,0.07712,0.04563,0.9196,0.2508,0.603,11052.99,46.92,22.92,0.018,0.0952,0.398,121,273,36,0.176,4,24,18.9,744,113.6016,0.0144,0.502,0.633,0.416
"21",0.75,140,0.0099,0.664,80,0.166,0.9864,13.56,26.56,7263.72,0.704,4.7,0.756,10.6,-0.261,6.6,0.1344,7.59e-08,17.9613,0.0342,0.1122,3899.88,0.5511,22.873,0.048,0.5511,1.056,0.9075,22.6224,0.0981,25.85,0.735,0.4884,23.2408,0.0612,0.03168,0.07712,0.04563,0.9196,0.2508,0.603,11052.99,46.92,22.92,0.018,0.0952,0.398,121,273,36,0.176,4,24,18.9,744,113.6016,0.0144,0.502,0.633,0.416
"22",0.75,140,0.0099,0.664,80,0.166,0.9864,13.56,26.56,7263.72,0.704,4.7,0.756,10.6,-0.261,6.6,0.1344,7.59e-08,17.9613,0.0342,0.1122,3899.88,0.5511,22.873,0.048,0.5511,1.056,0.9075,22.6224,0.0981,25.85,0.735,0.4884,23.2408,0.0612,0.03168,0.07712,0.04563,0.9196,0.2508,0.603,11052.99,46.92,22.92,0.018,0.0952,0.398,145.2,273,36,0.176,4,24,18.9,744,113.6016,0.0144,0.502,0.633,0.416
"23",0.75,140,0.0099,0.664,80,0.166,0.9864,13.56,26.56,7263.72,0.704,4.7,0.756,10.6,-0.319,6.6,0.1344,7.59e-08,17.9613,0.0342,0.1122,3899.88,0.5511,22.873,0.048,0.5511,1.056,0.9075,22.6224,0.0981,25.85,0.735,0.4884,23.2408,0.0612,0.03168,0.07712,0.04563,0.9196,0.2508,0.603,11052.99,46.92,22.92,0.018,0.0952,0.398,145.2,273,36,0.176,4,24,18.9,744,113.6016,0.0144,0.502,0.633,0.416
"24",0.75,140,0.0099,0.664,80,0.166,0.9864,13.56,26.56,7263.72,0.704,4.7,0.756,10.6,-0.319,6.6,0.1344,7.59e-08,17.9613,0.0342,0.1122,3899.88,0.5511,22.873,0.048,0.5511,1.056,0.9075,28.278,0.0981,25.85,0.735,0.4884,23.2408,0.0612,0.03168,0.07712,0.04563,0.9196,0.2508,0.603,11052.99,46.92,22.92,0.018,0.0952,0.398,145.2,273,36,0.176,4,24,18.9,744,113.6016,0.0144,0.502,0.633,0.416
