"BehaviorSpace results (NetLogo 6.2.2)"
"/home/gallagher/sensitivity/EBIVModelSAsobol.nlogo"
"SA_sobol"
"02/13/2023 16:05:01:168 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","19","0","49"
"[run number]","[step]","SA.BMadult","SA.BMemb","SA.BMwean","SA.age1stbirth","SA.LpY","SA.LSb","SA.dens"
"10","38833","15.637250092902262","1.366749072929538","7.919812583667982","95.28717948717949","1.25","5.67719298245614","18.751592356687897"
"1","38833","14.7704117869286","1.383260734287488","7.663614744351966","90.82","0.9090909090909091","5.410774410774411","18.1656050955414"
"4","38833","16.38467373744474","1.3687227414330168","8.31330203442879","102.48341232227489","0.6666666666666666","5.367892976588629","22.9171974522293"
"12","38833","15.443744519146415","1.3671688637790216","8.126564673157153","94.57142857142857","0.6153846153846154","5.418367346938775","15.178343949044587"
"8","38833","15.128609458189807","1.3224627875507378","7.817099863201087","89.2280701754386","0.625","5.335740072202166","15.02547770700637"
"9","38833","14.333450732410196","1.253955696202527","7.529345088161225","89.832","0.18181818181818182","5.719457013574661","19.21656050955414"
"14","38833","16.422230499888336","1.4099236641221309","8.43024193548388","98.73711340206185","1","5.496503496503497","19.29299363057325"
"13","38833","15.919064873527933","1.4576208178438557","8.443211920529812","106.08823529411765","0.4666666666666667","5.56551724137931","21.59235668789809"
"3","38833","15.401855203619965","1.2525753768844206","7.746708074534154","95.01086956521739","1","5.625441696113074","17.719745222929937"
"6","38833","14.14919060052221","1.1133748055987631","6.84861809045226","88.38636363636364","0.09090909090909091","5.51931330472103","22.528662420382165"
"11","38833","14.848300970873812","1.2662449683726305","7.619117647058875","97.0576923076923","0.9285714285714286","5.434375","22.56687898089172"
"2","38833","13.673967582804751","1.231175298804778","6.982763337893291","94.90654205607477","0.48148148148148145","5.3121693121693125","18.898089171974522"
"5","38833","14.915949261800842","1.1943278502552592","7.289473684210528","97.91549295774648","1.1428571428571428","5.63258785942492","21.29299363057325"
"15","38833","13.248291061982917","1.1795279912184424","6.645740956826144","94.30697674418604","1.1428571428571428","5.640866873065016","25.38216560509554"
"7","38833","13.440999870315181","1.2452340665538657","6.789755529685669","96.89686098654708","1","5.5233644859813085","21.726114649681527"
"19","38833","15.877157572383028","1.3500309597523086","8.360353982300854","108.09302325581395","0.125","5.588235294117647","21"
"17","38833","14.975773975328218","1.2214608920491288","7.46297229219144","91.95238095238095","1.1428571428571428","5.729629629629629","23.159235668789808"
"18","38833","15.114118057981129","1.173006833712997","7.371374045801532","93.69194312796209","0.95","5.556962025316456","20.254777070063696"
"20","38833","13.988939780747883","1.141003134796248","7.02739898989897","87.94011976047904","0.5384615384615384","5.576923076923077","23.356687898089174"
"16","38833","14.075318937083786","1.1616997792494574","7.044489247311838","95.78991596638656","1.3333333333333333","5.457831325301205","19.687898089171973"
"23","38833","14.423300062383047","1.291197183098588","7.341200000000016","92.1344537815126","0.7894736842105263","5.623762376237623","16.089171974522294"
"24","38833","13.40848304137161","1.2996960486322124","7.407742782152228","91.57553956834532","0.9090909090909091","5.43801652892562","20.630573248407643"
"21","38833","13.72484202792063","1.3497404844290597","7.561687413554628","93.42372881355932","0.5333333333333333","5.478672985781991","22.356687898089174"
"28","38833","14.713118641474763","1.3354978354978302","7.74441717791409","91.68983957219251","0.4444444444444444","5.575862068965518","23.45859872611465"
"22","38833","14.259309257863423","1.2689692390717733","7.163440860215057","96.24657534246575","0.9166666666666666","5.684049079754601","23.178343949044585"
"30","38833","14.695635460879288","1.2378766140602464","7.546526867627795","87.98630136986301","0.9090909090909091","5.832635983263598","17.254777070063696"
"26","38833","14.80351475604331","1.2923848878394206","7.7697986577181135","90.56632653061224","1.2222222222222223","5.665551839464883","18.197452229299362"
"29","38833","15.588868138464644","1.1710900473933745","7.666192170818516","125.76339285714286","1","5.589403973509934","19.70700636942675"
"27","38833","14.462139489739329","1.239620403321474","7.218838709677417","96.33980582524272","1.1176470588235294","5.456310679611651","19.14012738853503"
"25","38833","13.882343009286313","1.256185845488926","7.148081841432222","98.90783410138249","0.8421052631578947","5.575301204819277","18.78980891719745"
"36","38833","16.375853350189583","1.3675578034682059","8.262875816993443","89.14379084967321","1.5","5.51394422310757","17.197452229299362"
"31","38833","14.87226961801547","1.3132024373730389","7.638821954484593","90.36416184971098","0.9","5.430147058823529","19.426751592356688"
"32","38833","14.054628442097282","1.1755252100840379","7.295596590909081","89.05882352941177","0.7142857142857143","5.288888888888889","23.121019108280255"
"37","38833","15.781100196463722","1.3769531250000053","8.215504978662853","90.87912087912088","0.6363636363636364","5.278350515463917","13.92356687898089"
"34","38833","15.585782343307992","1.4199476782210507","8.355111111111098","97.33854166666667","0.9090909090909091","5.383802816901408","16.261146496815286"
"39","38833","14.556713999073976","1.2170143415906052","7.47674113009197","87.79885057471265","0.8888888888888888","5.681481481481481","21.235668789808916"
"33","38833","13.090967220344012","1.131126279863485","6.609580838323342","89.44871794871794","1.1666666666666667","5.507518796992481","22.67515923566879"
"44","38833","14.960991580916748","1.272095671981781","7.538045112781967","90.33684210526316","0.4857142857142857","5.226190476190476","17.62420382165605"
"35","38833","13.782568807339489","1.2603394091766116","7.343203883495152","91.08771929824562","0.9","5.562937062937063","19.29299363057325"
"42","38833","14.975711096709151","1.3411032028469665","7.865620915032684","94.4401913875598","1.0666666666666667","5.30188679245283","21.56050955414013"
"38","38833","14.004751477994208","1.2210588235294086","7.051711491442545","94.70466321243524","0.6363636363636364","5.51948051948052","20.0828025477707"
