site,model,experiment,floor_date,NDVI,year
Pallasjarvi,EC-Earth3-CC,ssp245,2099-08-01,0.7572432260172741,2099
Pallasjarvi,EC-Earth3-CC,ssp245,2099-09-01,0.6276746993136109,2099
Pallasjarvi,EC-Earth3-CC,ssp245,2099-10-01,0.5177873486289604,2099
Stroemsund,AWI-CM-1-1-MR,ssp245,2022-04-01,0.033433823529411766,2022
Stroemsund,AWI-CM-1-1-MR,ssp245,2022-05-01,0.42856296296296303,2022
Stroemsund,AWI-CM-1-1-MR,ssp245,2022-06-01,0.6290722222222223,2022
Stroemsund,AWI-CM-1-1-MR,ssp245,2022-07-01,0.6236388888888889,2022
Stroemsund,AWI-CM-1-1-MR,ssp245,2022-08-01,0.5648524691358026,2022
Stroemsund,AWI-CM-1-1-MR,ssp245,2022-09-01,0.43958395061728395,2022
Stroemsund,AWI-CM-1-1-MR,ssp245,2022-10-01,0.3066917808219178,2022
Stroemsund,AWI-CM-1-1-MR,ssp245,2039-04-01,0.010886193736430572,2039
Stroemsund,AWI-CM-1-1-MR,ssp245,2039-05-01,0.38693622185449394,2039
Stroemsund,AWI-CM-1-1-MR,ssp245,2039-06-01,0.5143422348421435,2039
Stroemsund,AWI-CM-1-1-MR,ssp245,2039-07-01,0.5745124474726713,2039
Stroemsund,AWI-CM-1-1-MR,ssp245,2039-08-01,0.607134423895146,2039
Stroemsund,AWI-CM-1-1-MR,ssp245,2039-09-01,0.47594551280512043,2039
Stroemsund,AWI-CM-1-1-MR,ssp245,2039-10-01,0.4019989947771888,2039
Stroemsund,AWI-CM-1-1-MR,ssp245,2099-04-01,0.23449912482071966,2099
Stroemsund,AWI-CM-1-1-MR,ssp245,2099-05-01,0.4517243630306894,2099
Stroemsund,AWI-CM-1-1-MR,ssp245,2099-06-01,0.5822780620974874,2099
Stroemsund,AWI-CM-1-1-MR,ssp245,2099-07-01,0.6073259708301012,2099
Stroemsund,AWI-CM-1-1-MR,ssp245,2099-08-01,0.5405605834030038,2099
Stroemsund,AWI-CM-1-1-MR,ssp245,2099-09-01,0.49508047348788864,2099
Stroemsund,AWI-CM-1-1-MR,ssp245,2099-10-01,0.13593587410062524,2099
Stroemsund,CNRM-CM6-1-HR,ssp245,2022-04-01,0.033433823529411766,2022
Stroemsund,CNRM-CM6-1-HR,ssp245,2022-05-01,0.42856296296296303,2022
Stroemsund,CNRM-CM6-1-HR,ssp245,2022-06-01,0.6290722222222223,2022
Stroemsund,CNRM-CM6-1-HR,ssp245,2022-07-01,0.6236388888888889,2022
Stroemsund,CNRM-CM6-1-HR,ssp245,2022-08-01,0.5648524691358026,2022
Stroemsund,CNRM-CM6-1-HR,ssp245,2022-09-01,0.43958395061728395,2022
Stroemsund,CNRM-CM6-1-HR,ssp245,2022-10-01,0.3066917808219178,2022
Stroemsund,CNRM-CM6-1-HR,ssp245,2039-04-01,0.3023984496099765,2039
Stroemsund,CNRM-CM6-1-HR,ssp245,2039-05-01,0.4645582087486504,2039
Stroemsund,CNRM-CM6-1-HR,ssp245,2039-06-01,0.5466326474200637,2039
Stroemsund,CNRM-CM6-1-HR,ssp245,2039-07-01,0.7403633855496974,2039
Stroemsund,CNRM-CM6-1-HR,ssp245,2039-08-01,0.6021879634539588,2039
Stroemsund,CNRM-CM6-1-HR,ssp245,2039-09-01,0.4218612088893645,2039
Stroemsund,CNRM-CM6-1-HR,ssp245,2039-10-01,0.42139153539830787,2039
Stroemsund,CNRM-CM6-1-HR,ssp245,2099-04-01,0.3429116567590278,2099
Stroemsund,CNRM-CM6-1-HR,ssp245,2099-05-01,0.4999865896637784,2099
Stroemsund,CNRM-CM6-1-HR,ssp245,2099-06-01,0.609592699400547,2099
Stroemsund,CNRM-CM6-1-HR,ssp245,2099-07-01,0.6150442470311522,2099
Stroemsund,CNRM-CM6-1-HR,ssp245,2099-08-01,0.686229496618244,2099
Stroemsund,CNRM-CM6-1-HR,ssp245,2099-09-01,0.4924331914984904,2099
Stroemsund,CNRM-CM6-1-HR,ssp245,2099-10-01,0.4703252556134946,2099
Stroemsund,EC-Earth3-CC,ssp245,2022-04-01,0.033433823529411766,2022
Stroemsund,EC-Earth3-CC,ssp245,2022-05-01,0.42856296296296303,2022
Stroemsund,EC-Earth3-CC,ssp245,2022-06-01,0.6290722222222223,2022
Stroemsund,EC-Earth3-CC,ssp245,2022-07-01,0.6236388888888889,2022
Stroemsund,EC-Earth3-CC,ssp245,2022-08-01,0.5648524691358026,2022
Stroemsund,EC-Earth3-CC,ssp245,2022-09-01,0.43958395061728395,2022
Stroemsund,EC-Earth3-CC,ssp245,2022-10-01,0.3066917808219178,2022
Stroemsund,EC-Earth3-CC,ssp245,2039-04-01,0.26618753764369485,2039
Stroemsund,EC-Earth3-CC,ssp245,2039-05-01,0.37848355704777026,2039
Stroemsund,EC-Earth3-CC,ssp245,2039-06-01,0.6659377840686292,2039
Stroemsund,EC-Earth3-CC,ssp245,2039-07-01,0.6534293284043353,2039
Stroemsund,EC-Earth3-CC,ssp245,2039-08-01,0.611843712815465,2039
Stroemsund,EC-Earth3-CC,ssp245,2039-09-01,0.5011729485251836,2039
Stroemsund,EC-Earth3-CC,ssp245,2039-10-01,0.40380032859449977,2039
Stroemsund,EC-Earth3-CC,ssp245,2099-04-01,0.319473515325364,2099
Stroemsund,EC-Earth3-CC,ssp245,2099-05-01,0.46381294725462396,2099
Stroemsund,EC-Earth3-CC,ssp245,2099-06-01,0.580263945039878,2099
Stroemsund,EC-Earth3-CC,ssp245,2099-07-01,0.6664677933513754,2099
Stroemsund,EC-Earth3-CC,ssp245,2099-08-01,0.6256139067978848,2099
Stroemsund,EC-Earth3-CC,ssp245,2099-09-01,0.5984290449959422,2099
Stroemsund,EC-Earth3-CC,ssp245,2099-10-01,0.472528299140306,2099
Konnovesi,AWI-CM-1-1-MR,ssp245,2022-04-01,0.3353567901234568,2022
Konnovesi,AWI-CM-1-1-MR,ssp245,2022-05-01,0.6889833333333334,2022
Konnovesi,AWI-CM-1-1-MR,ssp245,2022-06-01,0.8092530864197531,2022
Konnovesi,AWI-CM-1-1-MR,ssp245,2022-07-01,0.8015938271604939,2022
Konnovesi,AWI-CM-1-1-MR,ssp245,2022-08-01,0.7772012345679012,2022
Konnovesi,AWI-CM-1-1-MR,ssp245,2022-09-01,0.7017043209876543,2022
Konnovesi,AWI-CM-1-1-MR,ssp245,2022-10-01,0.6591197530864198,2022
Konnovesi,AWI-CM-1-1-MR,ssp245,2039-04-01,0.4016189112171341,2039
Konnovesi,AWI-CM-1-1-MR,ssp245,2039-05-01,0.5774672603384114,2039
Konnovesi,AWI-CM-1-1-MR,ssp245,2039-06-01,0.7279520884025013,2039
Konnovesi,AWI-CM-1-1-MR,ssp245,2039-07-01,0.7792742503434176,2039
Konnovesi,AWI-CM-1-1-MR,ssp245,2039-08-01,0.6650830517958205,2039
Konnovesi,AWI-CM-1-1-MR,ssp245,2039-09-01,0.6395337378875688,2039
Konnovesi,AWI-CM-1-1-MR,ssp245,2039-10-01,0.5495643045564272,2039
Konnovesi,AWI-CM-1-1-MR,ssp245,2099-04-01,0.30615895424898937,2099
Konnovesi,AWI-CM-1-1-MR,ssp245,2099-05-01,0.6259714795243075,2099
Konnovesi,AWI-CM-1-1-MR,ssp245,2099-06-01,0.7371464254571943,2099
Konnovesi,AWI-CM-1-1-MR,ssp245,2099-07-01,0.82500844812192,2099
Konnovesi,AWI-CM-1-1-MR,ssp245,2099-08-01,0.7503774766747722,2099
Konnovesi,AWI-CM-1-1-MR,ssp245,2099-09-01,0.5861117619907946,2099
Konnovesi,AWI-CM-1-1-MR,ssp245,2099-10-01,0.44416211531289473,2099
Konnovesi,CNRM-CM6-1-HR,ssp245,2022-04-01,0.3353567901234568,2022
Konnovesi,CNRM-CM6-1-HR,ssp245,2022-05-01,0.6889833333333334,2022
Konnovesi,CNRM-CM6-1-HR,ssp245,2022-06-01,0.8092530864197531,2022
Konnovesi,CNRM-CM6-1-HR,ssp245,2022-07-01,0.8015938271604939,2022
Konnovesi,CNRM-CM6-1-HR,ssp245,2022-08-01,0.7772012345679012,2022
Konnovesi,CNRM-CM6-1-HR,ssp245,2022-09-01,0.7017043209876543,2022
Konnovesi,CNRM-CM6-1-HR,ssp245,2022-10-01,0.6591197530864198,2022
Konnovesi,CNRM-CM6-1-HR,ssp245,2039-04-01,0.4342183755162812,2039
Konnovesi,CNRM-CM6-1-HR,ssp245,2039-05-01,0.6090210075451012,2039
Konnovesi,CNRM-CM6-1-HR,ssp245,2039-06-01,0.7500582138992024,2039
Konnovesi,CNRM-CM6-1-HR,ssp245,2039-07-01,0.833450549422138,2039
Konnovesi,CNRM-CM6-1-HR,ssp245,2039-08-01,0.7963690065463198,2039
Konnovesi,CNRM-CM6-1-HR,ssp245,2039-09-01,0.6306941421691715,2039
Konnovesi,CNRM-CM6-1-HR,ssp245,2039-10-01,0.6153942497079238,2039
Konnovesi,CNRM-CM6-1-HR,ssp245,2099-04-01,0.5304236143532006,2099
