"BehaviorSpace results (NetLogo 6.2.2)"
"/home/gallagher/densities/EBIVModelDensTest.nlogo"
"Densities"
"01/04/2023 09:33:31:711 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","39","0","39"
"[run number]","max-resources-base","pcolor-update?","resources-dynamic?","n-food-c","print?","ITV-var-BMR","r-growth-ts","perc-resource-cells","n-animals","debug","out-year","overwinter-skip?","ITV-var-repro","ITV-var-growth","home-ranging?","fragmentation-level","[step]","dens-list"
"7","40","false","false","3","false","0","0.005","0.75","100","Dens","-1","true","0","0","true","0.9","77290","[10 10 10 10 10 10 10 5 5 8 8 6 3 2 2 2 2 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 2 9 9 9 9 12 11 7 4 4 4 4 4 4 13 17 15 10 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 4 4 5 5 6 6 6 6 6 8 9 9 9 8 8 2 2 2 2 2 2 8 9 9 9 9 9 9 7 1 2 5 3 3 3 3 3 1 1 1 1 1 1 1 2 2 3 4 6 8 8 8 5 9 9 9 9 7 5 2 2 2 2 2 2 8 9 9 9 10 11 10 10 6 4 5 1 1 3 1 1 0 0 0 0 0 0 3 3 3 3 3 4 5 5 4 4 6 5 4 2 2 1 1 1 1 1 1 1 6 9 9 9 10 10 8 10 9 8 10 9 5 3 3 4 3 1 1 1 1 1 1 7 7 7 7 8 9 9 9 7 5 4 3 3 4 4 3]"
"18","40","false","false","3","false","0","0.005","0.75","100","Dens","-1","true","0","0","true","0.9","77290","[6 6 6 6 6 6 6 6 6 16 7 3 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 2 3 3 3 4 4 4 6 6 8 8 10 11 10 5 5 5 5 5 5 9 15 11 6 5 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 2 5 7 8 7 10 12 10 3 3 3 3 3 3 15 16 16 13 11 10 7 5 2 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 2 2 5 5 5 6 6 8 13 6 3 1 0 0 0 0 0 0 0 0 2 2 2 2 3 4 3 2 0 0 7 7 7 6 4 4 0 0 0 0 0 0 0 0 0 1 2 4 2 2 2 4 8 7 4 3 3 3 0 0 0 0 0 0 4 5 5 5 8 9 9 9 9 9 11 7 4 2 1 1 0 0 0 0 0 0 0 1 5 5 5 5 5 6 6 5 5 4 6 5 4 4 4]"
"12","40","false","false","3","false","0","0.005","0.75","100","Dens","-1","true","0","0","true","0.9","77290","[1 1 1 1 1 1 1 1 1 12 16 10 9 6 5 3 1 0 0 0 0 0 0 0 0 0 0 0 2 2 2 2 2 2 2 2 2 2 4 4 4 7 6 6 6 0 0 0 0 0 0 1 12 12 12 14 14 13 11 5 1 3 4 4 4 4 4 2 1 1 1 1 1 1 1 1 1 2 2 2 2 2 3 4 8 9 7 5 6 6 3 1 1 1 1 1 1 5 10 10 10 8 8 6 5 2 3 2 0 0 0 0 0 0 0 0 0 0 0 6 6 6 6 8 6 6 4 3 5 8 6 4 3 3 2 1 1 1 1 1 1 3 5 5 5 8 10 10 7 4 7 9 7 4 4 3 3 0 0 0 0 0 0 8 11 11 10 11 10 8 6 4 2 1 2 2 1 1 1 1 1 1 1 1 1 2 2 2 2 3 3 3 2 2 2 7 8 8 5 5 2 1 0 0 0 0 0 0 2 6 6 6 8 8 10 10 5 3 3 4 5 4 3 4]"
"21","40","false","false","3","false","0","0.005","0.75","100","Dens","-1","true","0","0","true","0.9","77290","[4 4 4 4 4 4 4 3 3 14 12 10 6 6 4 4 3 2 3 3 3 3 2 2 2 2 2 2 7 9 9 9 13 14 14 12 12 9 10 8 2 3 2 1 1 1 1 1 1 1 1 5 7 7 7 6 6 5 4 3 2 0 1 1 0 0 1 1 1 1 1 1 1 1 1 2 2 2 3 3 3 2 4 4 10 10 10 10 7 5 2 0 0 0 0 0 0 5 5 5 5 8 8 8 8 6 12 8 7 6 4 4 3 2 2 2 2 2 2 6 7 6 6 7 6 6 5 5 4 6 6 3 2 3 3 2 2 2 2 2 2 11 11 11 9 11 11 10 6 4 2 5 4 2 2 0 0 0 0 0 0 0 0 6 11 14 13 11 12 12 10 9 6 8 6 6 3 4 3 3 3 3 3 3 3 7 9 9 9 10 10 10 5 5 4 5 6 6 3 3 3 2 0 0 0 0 0 0 5 7 8 8 7 7 7 7 6 5 12 10 8 6 4 4]"
"3","40","false","false","3","false","0","0.005","0.75","100","Dens","-1","true","0","0","true","0.9","77290","[4 4 4 4 4 4 4 3 3 13 8 4 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 9 11 8 8 9 9 6 5 5 5 5 5 5 12 19 13 10 9 6 3 2 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 5 5 5 7 7 7 7 7 7 7 7 6 3 3 1 1 1 1 1 1 1 1 4 5 5 8 8 9 9 6 5 3 10 6 4 2 2 2 0 0 0 0 0 0 0 1 1 1 2 2 2 2 2 3 4 3 3 6 8 6 4 4 4 4 4 3 11 11 9 7 5 5 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 6 6 6 6 7 7 7 8 8 9 12 12 10 8 7 3 3 3 3 3 3 9 10 11 11 8 6 3 2 2 2 0 3 5 5 5 5 4 3 3 3 3 3 3 4 5 5 5 5 5 6 5 4 4 5 5 4 3 3 3]"
"17","40","false","false","3","false","0","0.005","0.75","100","Dens","-1","true","0","0","true","0.9","77290","[7 7 7 7 7 7 7 7 7 12 10 5 4 1 1 0 0 0 0 2 2 2 2 2 2 2 2 2 12 15 13 13 10 10 8 8 3 1 1 0 0 1 2 2 1 1 1 1 1 1 1 2 4 4 4 5 5 5 4 4 4 9 9 9 5 4 3 2 0 0 0 0 0 0 0 1 2 2 3 8 7 7 6 3 3 3 2 2 2 2 2 2 2 2 2 2 2 5 6 6 6 6 7 6 6 6 7 10 10 9 7 5 4 3 3 3 3 3 3 9 11 11 11 14 14 12 5 5 3 1 0 0 0 0 0 0 0 0 0 0 0 2 3 3 5 7 8 8 8 4 3 3 2 0 0 1 1 1 1 1 1 1 1 3 4 4 4 7 8 8 8 10 9 9 3 0 0 0 0 0 0 0 0 0 0 8 11 11 11 11 9 8 7 4 0 3 3 3 3 1 1 0 0 0 0 0 0 0 2 3 3 3 7 7 7 7 7 6 9 7 7 6 8 6]"
"2","40","false","false","3","false","0","0.005","0.75","100","Dens","-1","true","0","0","true","0.9","77290","[8 8 8 8 8 8 8 7 5 10 11 9 6 5 5 4 3 3 3 3 3 3 2 2 2 2 2 2 2 3 3 3 4 4 4 4 4 5 10 10 9 11 8 6 5 2 2 2 2 2 2 3 5 5 5 6 5 5 5 5 3 6 5 4 3 1 0 0 0 0 0 0 0 0 3 10 10 10 10 11 11 8 7 3 7 6 4 2 2 2 2 0 0 0 0 0 0 2 2 2 3 5 5 4 3 3 9 11 9 8 7 6 3 1 1 1 1 1 1 4 4 6 7 7 9 9 10 13 14 14 10 10 10 3 1 0 0 0 0 0 0 4 4 4 4 5 5 6 6 7 7 11 10 9 10 9 7 3 3 3 3 3 3 7 15 15 15 15 10 7 6 2 5 3 4 4 5 5 4 2 2 2 2 2 2 3 5 6 6 6 6 7 7 4 7 10 12 8 7 3 3 1 0 0 0 0 0 0 0 2 2 2 3 3 3 2 2 2 9 10 7 7 6 4]"
"15","40","false","false","3","false","0","0.005","0.75","100","Dens","-1","true","0","0","true","0.9","77290","[8 8 8 8 8 8 8 8 6 10 8 4 3 5 5 4 4 4 4 4 4 4 2 2 2 2 2 2 4 5 5 5 5 5 5 4 3 4 7 7 5 3 4 3 1 0 0 0 0 0 0 0 2 2 2 4 6 6 6 5 4 3 1 1 0 3 2 2 1 1 1 1 1 1 1 10 10 10 9 10 10 7 3 4 5 3 3 3 3 2 2 1 1 1 1 1 1 5 6 6 6 7 7 9 7 4 3 1 1 1 1 1 1 0 0 0 0 0 0 6 6 6 6 8 8 7 5 3 2 1 0 0 0 2 2 1 1 1 1 1 1 8 7 7 7 7 7 7 7 9 9 9 8 4 4 1 0 0 0 0 0 0 0 4 5 5 5 6 6 4 4 2 1 8 11 10 13 9 6 2 2 2 2 2 2 6 9 8 8 9 9 8 8 6 4 6 6 6 5 2 2 2 0 0 0 0 0 0 2 4 4 4 4 4 4 4 4 2 5 7 4 3 1 1]"
"20","40","false","false","3","false","0","0.005","0.75","100","Dens","-1","true","0","0","true","0.9","77290","[8 8 8 8 8 8 8 8 7 15 15 6 2 3 3 2 2 1 1 1 1 1 0 0 0 0 0 0 2 4 4 4 5 5 5 5 3 3 2 3 1 1 1 0 0 0 0 0 0 0 0 6 8 9 9 11 11 12 12 9 6 7 5 5 4 4 4 2 0 0 0 0 0 0 2 2 3 3 3 6 6 6 7 5 5 3 3 3 4 4 4 1 1 1 1 1 1 5 5 5 5 10 10 10 10 8 9 6 3 2 4 3 3 1 1 1 1 1 1 5 6 6 6 6 5 6 5 5 3 6 5 5 3 3 4 4 4 4 4 4 4 9 9 9 9 10 12 10 8 5 13 15 9 6 4 3 2 2 2 2 2 2 2 7 7 7 6 12 12 11 7 4 2 3 3 3 3 3 3 1 1 1 1 1 1 1 4 4 4 5 8 8 8 9 6 6 5 5 5 6 6 4 1 1 1 1 1 1 4 8 9 9 10 10 10 10 4 3 5 5 2 3 3 3]"
"6","40","false","false","3","false","0","0.005","0.75","100","Dens","-1","true","0","0","true","0.9","77290","[6 6 6 6 6 5 5 5 4 17 14 7 3 2 2 2 1 1 0 0 0 0 0 0 0 0 0 0 2 4 4 4 5 6 6 6 7 7 14 12 10 10 11 11 11 2 2 2 2 2 2 6 15 16 13 11 8 5 4 2 0 1 1 1 1 2 2 2 0 0 0 0 0 0 0 2 2 2 2 3 3 3 3 3 5 9 7 7 8 6 6 3 3 3 3 3 3 15 19 17 19 19 17 13 4 3 5 3 3 2 2 2 2 2 2 2 2 2 2 9 9 9 10 10 9 9 9 7 6 10 8 5 3 4 2 1 1 1 1 1 1 5 8 8 8 10 10 10 9 7 9 12 11 8 8 8 8 2 2 2 2 2 2 4 5 5 5 6 6 6 6 5 7 8 9 7 6 4 3 0 0 0 0 0 0 4 8 8 8 10 12 11 11 11 5 9 8 4 2 2 2 2 0 0 0 0 0 0 1 1 1 1 2 2 2 3 3 3 11 9 7 6 5 3]"
