[0.25 ,  296.02083333333326 ,  3]
[0.26 ,  231.02083333333323 ,  3]
[0.25 ,  231.02083333333323 ,  3]
[0.25 ,  231.02083333333323 ,  3]
[0.25 ,  248.02083333333323 ,  3]
[0.25 ,  279.02083333333326 ,  3]
[0.25 ,  279.02083333333326 ,  3]
[0.26 ,  255.02083333333323 ,  3]
[0.25 ,  231.02083333333323 ,  3]
[0.26 ,  279.02083333333326 ,  3]
[0.25 ,  255.02083333333323 ,  3]
[0.26 ,  344.02083333333326 ,  3]
[0.25 ,  231.02083333333323 ,  3]
[0.25 ,  255.02083333333323 ,  3]
[0.25 ,  231.02083333333323 ,  3]
[0.26 ,  279.02083333333326 ,  3]
[0.25 ,  258.02083333333326 ,  3]
[0.25 ,  231.02083333333323 ,  3]
[0.26 ,  279.02083333333326 ,  3]
[0.25 ,  255.02083333333323 ,  3]
[0.25 ,  272.02083333333326 ,  3]
[0.25 ,  279.02083333333326 ,  3]
[0.25 ,  255.02083333333323 ,  3]
[0.26 ,  231.02083333333323 ,  3]
[0.25 ,  255.02083333333323 ,  3]
[0.26 ,  272.02083333333326 ,  3]
[0.25 ,  231.02083333333323 ,  3]
[0.25 ,  231.02083333333323 ,  3]
[0.26 ,  248.02083333333323 ,  3]
[0.26 ,  279.02083333333326 ,  3]
[0.25 ,  282.02083333333326 ,  3]
[0.25 ,  279.02083333333326 ,  3]
[0.26 ,  279.02083333333326 ,  3]
[0.25 ,  256.02083333333326 ,  4]
[0.25 ,  232.02083333333323 ,  4]
[0.26 ,  259.02083333333326 ,  4]
[0.25 ,  256.02083333333326 ,  4]
[0.25 ,  232.02083333333323 ,  4]
[0.25 ,  232.02083333333323 ,  4]
[0.25 ,  283.02083333333326 ,  4]
[0.26 ,  280.02083333333326 ,  4]
[0.25 ,  280.02083333333326 ,  4]
[0.25 ,  232.02083333333323 ,  4]
[0.25 ,  297.02083333333326 ,  4]
[0.25 ,  280.02083333333326 ,  4]
[0.25 ,  345.02083333333326 ,  4]
[0.25 ,  232.02083333333323 ,  4]
[0.25 ,  273.02083333333326 ,  4]
[0.25 ,  256.02083333333326 ,  4]
[0.25 ,  280.02083333333326 ,  4]
[0.26 ,  232.02083333333323 ,  4]
[0.26 ,  273.02083333333326 ,  4]
[0.24 ,  321.02083333333326 ,  4]
[0.26 ,  345.02083333333326 ,  4]
[0.25 ,  232.02083333333323 ,  4]
[0.25 ,  280.02083333333326 ,  4]
[0.25 ,  345.02083333333326 ,  4]
[0.25 ,  232.02083333333323 ,  4]
[0.26 ,  345.02083333333326 ,  4]
[0.25 ,  232.02083333333323 ,  4]
[0.25 ,  256.02083333333326 ,  4]
[0.25 ,  345.02083333333326 ,  4]
[0.26 ,  232.02083333333323 ,  4]
[0.26 ,  280.02083333333326 ,  4]
[0.25 ,  256.02083333333326 ,  4]
[0.26 ,  280.02083333333326 ,  4]
[0.25 ,  232.02083333333323 ,  4]
[0.25 ,  256.02083333333326 ,  4]
[0.25 ,  249.02083333333323 ,  4]
[0.25 ,  232.02083333333323 ,  4]
[0.26 ,  256.02083333333326 ,  4]
[0.26 ,  280.02083333333326 ,  4]
[0.25 ,  280.02083333333326 ,  4]
[0.25 ,  232.02083333333323 ,  4]
[0.25 ,  232.02083333333323 ,  4]
[0.25 ,  280.02083333333326 ,  4]
[0.25 ,  249.02083333333323 ,  4]
[0.25 ,  256.02083333333326 ,  4]
[0.25 ,  249.02083333333323 ,  4]
[0.25 ,  256.02083333333326 ,  4]
[0.25 ,  280.02083333333326 ,  4]
[0.25 ,  232.02083333333323 ,  4]
[0.25 ,  256.02083333333326 ,  4]
[0.25 ,  232.02083333333323 ,  4]
[0.25 ,  256.02083333333326 ,  4]
[0.25 ,  232.02083333333323 ,  4]
[0.25 ,  280.02083333333326 ,  4]
[0.25 ,  249.02083333333323 ,  4]
[0.25 ,  280.02083333333326 ,  4]
[0.25 ,  256.02083333333326 ,  4]
[0.26 ,  232.02083333333323 ,  4]
[0.25 ,  259.02083333333326 ,  4]
[0.25 ,  256.02083333333326 ,  4]
[0.25 ,  256.02083333333326 ,  4]
[0.25 ,  256.02083333333326 ,  4]
[0.26 ,  249.02083333333323 ,  4]
[0.26 ,  256.02083333333326 ,  4]
[0.25 ,  280.02083333333326 ,  4]
[0.26 ,  280.02083333333326 ,  4]
[0.25 ,  256.02083333333326 ,  4]
[0.25 ,  256.02083333333326 ,  4]
[0.25 ,  232.02083333333323 ,  4]
[0.25 ,  345.02083333333326 ,  4]
[0.25 ,  232.02083333333323 ,  4]
[0.25 ,  297.02083333333326 ,  4]
[0.25 ,  232.02083333333323 ,  4]
[0.26 ,  280.02083333333326 ,  4]
[0.25 ,  232.02083333333323 ,  4]
[0.25 ,  297.02083333333326 ,  4]
[0.25 ,  256.02083333333326 ,  4]
[0.25 ,  273.02083333333326 ,  4]
[0.25 ,  280.02083333333326 ,  4]
[0.26 ,  280.02083333333326 ,  4]
[0.26 ,  232.02083333333323 ,  4]
[0.25 ,  280.02083333333326 ,  4]
[0.25 ,  273.02083333333326 ,  4]
[0.26 ,  273.02083333333326 ,  4]
[0.26 ,  345.02083333333326 ,  4]
[0.25 ,  232.02083333333323 ,  4]
[0.25 ,  232.02083333333323 ,  4]
[0.25 ,  280.02083333333326 ,  4]
[0.25 ,  232.02083333333323 ,  4]
[0.26 ,  232.02083333333323 ,  4]
[0.26 ,  280.02083333333326 ,  4]
[0.26 ,  280.02083333333326 ,  4]
[0.26 ,  273.02083333333326 ,  4]
[0.25 ,  280.02083333333326 ,  4]
[0.26 ,  297.02083333333326 ,  4]
[0.25 ,  232.02083333333323 ,  4]
[0.25 ,  232.02083333333323 ,  4]
[0.25 ,  280.02083333333326 ,  4]
[0.25 ,  273.02083333333326 ,  4]
[0.25 ,  256.02083333333326 ,  4]
[0.26 ,  280.02083333333326 ,  4]
[0.25 ,  256.02083333333326 ,  4]
[0.25 ,  256.02083333333326 ,  4]
[0.26 ,  232.02083333333323 ,  4]
[0.25 ,  232.02083333333323 ,  4]
[0.25 ,  256.02083333333326 ,  4]
[0.25 ,  345.02083333333326 ,  4]
[0.25 ,  232.02083333333323 ,  4]
[0.25 ,  256.02083333333326 ,  4]
[0.25 ,  280.02083333333326 ,  4]
[0.25 ,  256.02083333333326 ,  4]
[0.25 ,  232.02083333333323 ,  4]
[0.26 ,  280.02083333333326 ,  4]
[0.26 ,  232.02083333333323 ,  4]
[0.26 ,  280.02083333333326 ,  4]
[0.26 ,  273.02083333333326 ,  4]
[0.25 ,  232.02083333333323 ,  4]
[0.26 ,  256.02083333333326 ,  4]
[0.26 ,  297.02083333333326 ,  4]
[0.25 ,  256.02083333333326 ,  4]
[0.25 ,  249.02083333333323 ,  4]
[0.26 ,  256.02083333333326 ,  4]
[0.26 ,  345.02083333333326 ,  4]
[0.25 ,  280.02083333333326 ,  4]
[0.26 ,  297.02083333333326 ,  4]
[0.25 ,  321.02083333333326 ,  4]
[0.25 ,  280.02083333333326 ,  4]
