[0.19 ,  38 ,  2]
[0.17 ,  39 ,  2]
[0.17 ,  39 ,  2]
[0.18 ,  39 ,  2]
[0.18 ,  39 ,  2]
[0.18 ,  39 ,  2]
[0.18 ,  39 ,  2]
[0.18 ,  39 ,  2]
[0.18 ,  39 ,  2]
[0.18 ,  39 ,  2]
[0.18 ,  39 ,  2]
[0.18 ,  40 ,  2]
[0.18 ,  40 ,  2]
[0.18 ,  40 ,  2]
[0.17 ,  40 ,  2]
[0.17 ,  40 ,  2]
[0.18 ,  40 ,  2]
[0.18 ,  40 ,  2]
[0.18 ,  40 ,  2]
[0.17 ,  40 ,  2]
[0.18 ,  40 ,  2]
[0.18 ,  41 ,  2]
[0.18 ,  41 ,  2]
[0.18 ,  41 ,  2]
[0.18 ,  41 ,  2]
[0.18 ,  41 ,  2]
[0.17 ,  41 ,  2]
[0.19 ,  41 ,  2]
[0.18 ,  41 ,  2]
[0.18 ,  41 ,  2]
[0.18 ,  41 ,  2]
[0.18 ,  42 ,  2]
[0.18 ,  42 ,  2]
[0.17 ,  42 ,  2]
[0.18 ,  42 ,  2]
[0.18 ,  42 ,  2]
[0.18 ,  42 ,  2]
[0.19 ,  42 ,  2]
[0.18 ,  42 ,  2]
[0.18 ,  42 ,  2]
[0.17 ,  42 ,  2]
[0.17 ,  43 ,  2]
[0.18 ,  43 ,  2]
[0.18 ,  43 ,  2]
[0.18 ,  43 ,  2]
[0.19 ,  43 ,  2]
[0.18 ,  43 ,  2]
[0.18 ,  43 ,  2]
[0.18 ,  43 ,  2]
[0.17 ,  43 ,  2]
[0.18 ,  43 ,  2]
[0.18 ,  44 ,  2]
[0.17 ,  44 ,  2]
[0.17 ,  44 ,  2]
[0.18 ,  44 ,  2]
[0.18 ,  44 ,  2]
[0.18 ,  44 ,  2]
[0.18 ,  44 ,  2]
[0.18 ,  44 ,  2]
[0.17 ,  44 ,  2]
[0.19 ,  44 ,  2]
[0.17 ,  46 ,  3]
[0.18 ,  46 ,  3]
[0.18 ,  46 ,  3]
[0.18 ,  46 ,  3]
[0.19 ,  46 ,  3]
[0.18 ,  46 ,  3]
[0.18 ,  46 ,  3]
[0.18 ,  46 ,  3]
[0.17 ,  46 ,  3]
[0.17 ,  46 ,  3]
[0.17 ,  47 ,  3]
[0.18 ,  47 ,  3]
[0.18 ,  47 ,  3]
[0.18 ,  47 ,  3]
[0.18 ,  47 ,  3]
[0.17 ,  47 ,  3]
[0.18 ,  47 ,  3]
[0.17 ,  47 ,  3]
[0.18 ,  47 ,  3]
[0.18 ,  47 ,  3]
[0.18 ,  48 ,  3]
[0.18 ,  48 ,  3]
[0.18 ,  48 ,  3]
[0.17 ,  48 ,  3]
[0.18 ,  48 ,  3]
[0.18 ,  48 ,  3]
[0.19 ,  48 ,  3]
[0.18 ,  48 ,  3]
[0.18 ,  48 ,  3]
[0.19 ,  48 ,  3]
[0.18 ,  49 ,  3]
[0.19 ,  49 ,  3]
[0.18 ,  49 ,  3]
[0.18 ,  49 ,  3]
[0.18 ,  49 ,  3]
[0.18 ,  49 ,  3]
[0.18 ,  49 ,  3]
[0.18 ,  49 ,  3]
[0.18 ,  49 ,  3]
[0.18 ,  49 ,  3]
[0.18 ,  50 ,  3]
[0.18 ,  50 ,  3]
[0.18 ,  50 ,  3]
[0.18 ,  50 ,  3]
[0.19 ,  50 ,  3]
[0.19 ,  50 ,  3]
[0.18 ,  50 ,  3]
[0.18 ,  50 ,  3]
[0.18 ,  50 ,  3]
[0.18 ,  50 ,  3]
[0.18 ,  51 ,  3]
[0.18 ,  51 ,  3]
[0.18 ,  51 ,  3]
[0.18 ,  51 ,  3]
[0.19 ,  51 ,  3]
[0.18 ,  51 ,  3]
[0.18 ,  51 ,  3]
[0.19 ,  51 ,  3]
[0.18 ,  51 ,  3]
[0.19 ,  51 ,  3]
[0.19 ,  52 ,  3]
[0.18 ,  52 ,  3]
[0.18 ,  52 ,  3]
[0.18 ,  52 ,  3]
[0.18 ,  52 ,  3]
[0.18 ,  52 ,  3]
[0.18 ,  52 ,  3]
[0.18 ,  52 ,  3]
[0.19 ,  52 ,  3]
[0.18 ,  52 ,  3]
[0.18 ,  53 ,  3]
[0.18 ,  53 ,  3]
[0.18 ,  53 ,  3]
[0.17 ,  53 ,  3]
[0.19 ,  53 ,  3]
[0.18 ,  53 ,  3]
[0.17 ,  53 ,  3]
[0.18 ,  53 ,  3]
[0.18 ,  53 ,  3]
[0.18 ,  53 ,  3]
[0.18 ,  54 ,  3]
[0.18 ,  54 ,  3]
[0.19 ,  54 ,  3]
[0.18 ,  54 ,  3]
[0.18 ,  54 ,  3]
[0.19 ,  54 ,  3]
[0.18 ,  54 ,  3]
[0.19 ,  54 ,  3]
